idx	text_left	text_right	label
58	reminiscences on influential papers kaladhar voruganti , renée j. miller , kenneth a. ross , flip korn sigmod record 2002	reminiscences on influential papers richard snodgrass acm sigmod record 1998	0
59	filtering with approximate predicates hector garcia-molina , narayanan shivakumar , chandra chekuri vldb 1998	filtering with approximate predicates narayanan shivakumar , hector garcia-molina , chandra chekuri very large data bases 1998	1
60	sql query optimization : reordering for a general class of queries piyush goel , balakrishna r. iyer sigmod conference 1996	probabilistic optimization of top n queries donko donjerkovic , raghu ramakrishnan very large data bases 1999	0
61	hierarchical compact cube for range-max queries hua-gang li , sin yeung lee , tok wang ling vldb 2000	hierarchical compact cube for range-max queries sin yeung lee , tok wang ling , hua-gang li very large data bases 2000	1
62	index configuration in object-oriented databases elisa bertino vldb j. 1994	opt + + : an object-oriented implementation for extensible database query optimization navin kabra , david j. dewitt the vldb journal -- the international journal on very large data bases 1999	0
63	further improvements on integrity constraint checking for stratifiable deductive databases sin yeung lee , tok wang ling vldb 1996	implementing deductive databases by mixed integer programming colin bell , anil nerode , raymond t. ng , v. s. subrahmanian acm transactions on database systems ( tods ) 1996	0
64	hierarchical prefix cubes for range-sum queries chee yong chan , yannis e. ioannidis vldb 1999	dynamic update cube for range-sum queries seok-ju chun , chin-wan chung , ju-hong lee , seok-lyong lee very large data bases 2001	0
65	hypergraph based reorderings of outer join queries with complex predicates gautam bhargava , balakrishna r. iyer , piyush goel sigmod conference 1995	factorizing complex predicates in queries to exploit indexes surajit chaudhuri , prasanna ganesan , sunita sarawagi international conference on management of data 2003	0
66	the aditi deductive database system kotagiri ramamohanarao , david b. kemp , jayen vaghani , tim s. leask , james harland , peter j. stuckey , zoltan somogyi vldb j. 1994	space optimization in deductive databases divesh srivastava , s. sudarshan , raghu ramakrishnan , jeffrey f. naughton acm transactions on database systems ( tods ) 1995	0
67	static detection of security flaws in object-oriented databases keishi tajima sigmod conference 1996	unisql/x unified relational and object-oriented database system won kim international conference on management of data 1994	0
68	strudel : a web-site management system alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu sigmod conference 1997	using the calanda time series management system werner dreyer , angelika kotz dittrich , duri schmidt international conference on management of data 1995	0
69	tree pattern query minimization divesh srivastava , sungran cho , laks v. s. lakshmanan , sihem amer-yahia vldb j. 2002	efficient algorithms for minimizing tree pattern queries prakash ramanan international conference on management of data 2002	0
70	implementation of magic-sets in a relational database system inderpal singh mumick , hamid pirahesh sigmod conference 1994	on efficiently implementing schemasql on an sql database system laks v. s. lakshmanan , fereidoon sadri , subbu n. subramanian very large data bases 1999	0
71	a robust , optimization-based approach for approximate answering of aggregate queries vivek r. narasayya , gautam das , surajit chaudhuri sigmod conference 2001	the aqua approximate query answering system swarup acharya , phillip b. gibbons , viswanath poosala , sridhar ramaswamy international conference on management of data 1999	0
72	selectivity estimation for spatio-temporal queries to moving objects yong-jin choi , chin-wan chung sigmod conference 2002	selectivity estimation in spatial databases swarup acharya , viswanath poosala , sridhar ramaswamy international conference on management of data 1999	0
73	on supporting containment queries in relational database management systems guy m. lohman , david j. dewitt , qiong luo , jeffrey f. naughton , chun zhang sigmod conference 2001	integrating modelling systems for environmental management information systems david j. abel , kerry taylor , dean kun acm sigmod record 1997	0
74	vist : a dynamic index method for querying xml data by tree structures wei fan , sanghyun park , philip s. yu , haixun wang sigmod conference 2003	efficient index structures for string databases tamer kahveci , ambuj k. singh very large data bases 2001	0
75	foundations of preferences in database systems werner kießling vldb 2002	secure buffering in firm real-time database systems binto george , jayant r. haritsa the vldb journal -- the international journal on very large data bases 2000	0
76	towards automated performance tuning for complex workloads michael j. carey , manish mehta , miron livny , kurt p. brown vldb 1994	towards automated performance tuning for complex workloads kurt p. brown , manish mehta , michael j. carey , miron livny very large data bases 1994	1
77	book review column karl aberer sigmod record 2003	book reviews karl aberer acm sigmod record 2002	0
78	groupwise processing of relational queries kenneth a. ross , damianos chatziantoniou vldb 1997	cache conscious algorithms for relational query processing ambuj shatdal , chander kant , jeffrey f. naughton very large data bases 1994	0
79	efficiently instantiating view-objects from remote relational databases gio wiederhold , byung suk lee vldb j. 1994	converting relational to object-oriented databases joseph fong acm sigmod record 1997	0
80	constructing the next 100 database management systems andreas geppert , klaus r. dittrich sigmod record 1994	the mariposa distributed database management system jeff sidell acm sigmod record 1996	0
81	report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ) joachim hammer sigmod record 2002	report on the fourth international conference on flexible query answering systems ( fqas 2000 ) patrick bosc , amihai motro , gabriella pasi acm sigmod record 2001	0
82	reminiscences on influential papers kenneth a. ross , kyuseok shim , mary f. fernandez sigmod record 2002	influential papers ken ross acm sigmod record 2002	0
83	index nesting - an efficient approach to indexing in object-oriented databases jiawei han , beng chin ooi , hongjun lu , kian-lee tan vldb j. 1996	exact : an extensible approach to active object-oriented databases oscar d &#237; az , arturo jaime the vldb journal -- the international journal on very large data bases 1997	0
84	mocha : a self-extensible database middleware system for distributed data sources manuel rodriguez-martinez , nick roussopoulos sigmod conference 2000	aqr-toolkit : an adaptive query routing middleware for distributed data intensive systems ling liu , calton pu , david buttler , wei han , henrique paques , wei tang international conference on management of data 2000	0
85	the design and implementation of a sequence database system raghu ramakrishnan , miron livny , praveen seshadri vldb 1996	the aggregate data problem : a system for their definition and management m. rafanelli , a. bezenchek , l. tininini acm sigmod record 1996	0
86	approximating aggregate queries about web pages via random walks jittat fakcharoenphol , steve chien , ziv bar-yossef , alexander berg , dror weitz vldb 2000	a robust , optimization-based approach for approximate answering of aggregate queries surajit chaudhuri , gautam das , vivek narasayya international conference on management of data 2001	0
87	databases and visualization daniel a. keim sigmod conference 1996	delaunay : a database visualization system isabel f. cruz , m. averbuch , wendy t. lucas , melissa radzyminski , kirby zhang international conference on management of data 1997	0
88	closest pair queries in spatial databases yannis theodoridis , yannis manolopoulos , antonio corral , michael vassilakopoulos sigmod conference 2000	location-based spatial queries jun zhang , manli zhu , dimitris papadias , yufei tao , dik lun lee international conference on management of data 2003	0
89	materialized view selection and maintenance using multi-query optimization krithi ramamritham , hoshi mistry , prasan roy , s. sudarshan sigmod conference 2001	outerjoin simplification and reordering for query optimization c &#233; sar galindo-legaria , arnon rosenthal acm transactions on database systems ( tods ) 1997	0
90	adaptive algorithms for set containment joins hector garcia-molina , sergey melnik acm trans . database syst . 2003	1-safe algorithms for symmetric site configurations rune humborstad , maitrayi sabaratnam , svein-olaf hvasshovd , &#216; ystein torbj &#248; rnsen very large data bases 1997	0
91	book review column karl aberer sigmod record 2002	book reviews acm sigmod record 2003	0
92	binding propagation in disjunctive databases sergio greco vldb 1998	tail recursion elimination in deductive databases kenneth a. ross acm transactions on database systems ( tods ) 1996	0
93	krdb ' 98 : the 5th international workshop on knowledge representation meets databases alexander borgida , martin staudt , vinay k. chaudhri sigmod record 1998	report on first international workshop on real-time database systems azer bestavros , kwei-jay lin , sang son acm sigmod record 1996	0
94	indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches xiaoyang sean wang , changzhou wang vldb j. 2001	parallel algorithms for high-dimensional similarity joins for data mining applications john c. shafer , rakesh agrawal very large data bases 1997	0
95	towards on-line analytical mining in large databases jiawei han sigmod record 1998	turbo-charging vertical mining of large databases pradeep shenoy , jayant r. haritsa , s. sundarshan , gaurav bhalotia , mayank bawa , devavrat shah international conference on management of data 2000	0
96	dwms : data warehouse management system narendra mohan vldb 1996	the araneus web-based management system g. mecca , p. atzeni , a. masci , g. sindoni , p. merialdo international conference on management of data 1998	0
97	editorial richard t. snodgrass acm trans . database syst . 2001	guest editorial amr el abbadi , gunter schlageter , kyu-young whang the vldb journal -- the international journal on very large data bases 2001	0
98	tracing the lineage of view data in a warehousing environment janet l. wiener , yingwei cui , jennifer widom acm trans . database syst . 2000	lineage tracing for general data warehouse transformations y. cui , j. widom the vldb journal -- the international journal on very large data bases 2003	0
99	influence sets based on reverse nearest neighbor queries s. muthukrishnan , flip korn sigmod conference 2000	nearest neighbor queries nick roussopoulos , stephen kelley , fr &#233; d &#233; ric vincent international conference on management of data 1995	0
100	repositories and object oriented databases philip a. bernstein sigmod record 1998	metu object-oriented dbms asuman dogac , budak arpinar , cem evrendilek , cetin ozkan , ilker altintas , ilker durusoy , mehmet altinel , tansel okay , yuksel saygin international conference on management of data 1994	0
101	groupwise processing of relational queries kenneth a. ross , damianos chatziantoniou vldb 1997	congressional samples for approximate answering of group-by queries swarup acharya , phillip b. gibbons , viswanath poosala international conference on management of data 2000	0
102	optimizing multi-feature queries for image databases ulrich güntzer , werner kießling , wolf-tilo balke vldb 2000	optimizing queries over multimedia repositories surajit chaudhuri , luis gravano international conference on management of data 1996	0
103	static detection of security flaws in object-oriented databases keishi tajima sigmod conference 1996	description logics for semantic query optimization in object-oriented database systems domenico beneventano , sonia bergamaschi , claudio sartori acm transactions on database systems ( tods ) 2003	0
104	the lyric language : querying constraint objects alexander brodsky , yoram kornatzky sigmod conference 1995	themis : a database programming language handling integrity constraints v &#233; ronique benzaken , anne doucet the vldb journal -- the international journal on very large data bases 1995	0
105	actiview : adaptive data presentation using supersql motomichi toyama , yoko maeda vldb 2001	actiview : adaptive data presentation using supersql yoko maeda , motomichi toyama very large data bases 2001	1
106	distance-based indexing for high-dimensional metric spaces z. meral özsoyoglu , tolga bozkaya sigmod conference 1997	the x-tree : an index structure for high-dimensional data stefan berchtold , daniel a. keim , hans-peter kriegel very large data bases 1996	0
107	efficiently instantiating view-objects from remote relational databases gio wiederhold , byung suk lee vldb j. 1994	efficiently publishing relational data as xml documents jayavel shanmugasundaram , eugene j. shekita , rimon barr , michael j. carey , bruce g. lindsay , hamid pirahesh , berthold reinwald very large data bases 2000	0
108	dbsim : a simulation tool for predicting database performance craig wong , mark stokrp , mike lefler sigmod conference 1996	dbsim : a simulation tool for predicting database performance mark lefler , mark stokrp , craig wong international conference on management of data 1996	1
109	report on the 8th international workshop on knowledge representation meets databases ( krdb ) dan suciu , maurizio lenzerini , daniele nardi , werner nutt sigmod record 2001	report on ngits ' 99 : the fourth international workshop on next generation information technologies and systems opher etzion acm sigmod record 1999	0
110	on supporting containment queries in relational database management systems guy m. lohman , david j. dewitt , qiong luo , jeffrey f. naughton , chun zhang sigmod conference 2001	querying multiple features of groups in relational databases damianos chatziantoniou , kenneth a. ross very large data bases 1996	0
111	efficient schemes for managing multiversionxml documents shu-yao chien , carlo zaniolo , vassilis j. tsotras vldb j. 2002	efficient filtering of xml documents for selective dissemination of information mehmet altinel , michael j. franklin very large data bases 2000	0
112	data extraction and transformation for the data warehouse cass squire sigmod conference 1995	data warehouse configuration dimitri theodoratos , timos k. sellis very large data bases 1997	0
113	weaving relations for cache performance mark d. hill , anastassia ailamaki , david j. dewitt , marios skounakis vldb 2001	dbsim : a simulation tool for predicting database performance mark lefler , mark stokrp , craig wong international conference on management of data 1996	0
114	trex : dtd-conforming xml to xml transformations xueqing gong , kun yue , aoying zhou , zhimao guo , jianchang xiao , wenfei fan , hongwei wu , qing wang , shihui zheng sigmod conference 2003	composing xsl transformations with xml publishing views chengkai li , philip bohannon , p. p. s. narayan international conference on management of data 2003	0
115	reminiscences on influential papers kenneth a. ross , kyuseok shim , mary f. fernandez sigmod record 2002	reminiscences in influential papers richard snodgrass acm sigmod record 1998	0
116	watermarking relational data : framework , algorithms and analysis peter j. haas , rakesh agrawal , jerry kiernan vldb j. 2003	a system for watermarking relational databases rakesh agrawal , peter j. haas , jerry kiernan international conference on management of data 2003	0
117	report on the fourth international conference on flexible query answering systems gabriella pasi , amihai motro , patrick bosc sigmod record 2001	report on fqas 2002 : fifth international conference on flexible query answering systems amihai motro , troels andreasen acm sigmod record 2003	0
118	why decision support fails and how to fix it kevin strehlo , ralph kimball sigmod record 1995	why decision support fails and how to fix it ralph kimball , kevin strehlo acm sigmod record 1995	1
119	data extraction and transformation for the data warehouse cass squire sigmod conference 1995	data warehousing and olap for decision support surajit chaudhuri , umeshwar dayal international conference on management of data 1997	0
120	workshop report : the first international workshop on active and real-time database systems ( artdb-95 ) mikael berndtsson , jörgen hansson sigmod record 1996	report on ngits ' 99 : the fourth international workshop on next generation information technologies and systems opher etzion acm sigmod record 1999	0
121	reminiscences on influential papers kaladhar voruganti , renée j. miller , kenneth a. ross , flip korn sigmod record 2002	influential papers ken ross acm sigmod record 2002	0
122	discover : keyword search in relational databases vagelis hristidis , yannis papakonstantinou vldb 2002	data page layouts for relational databases on deep memory hierarchies anastassia ailamaki , david j. dewitt , mark d. hill the vldb journal -- the international journal on very large data bases 2002	0
123	constructing the next 100 database management systems andreas geppert , klaus r. dittrich sigmod record 1994	data grid management systems arun jagatheesan , arcot rajasekar international conference on management of data 2003	0
124	views in a large-scale xml repository vincent aguilera , dan vodislav , pierangelo veltri , sophie cluet , tova milo vldb j. 2002	views in a large-scale xml repository vincent aguilera , sophie cluet , tova milo , pierangelo veltri , dan vodislav the vldb journal -- the international journal on very large data bases 2002	1
125	automata theory for xml researchers frank neven sigmod record 2002	automata theory for xml researchers frank neven acm sigmod record 2002	1
126	infomaster : an information integration system arthur m. keller , michael r. genesereth , oliver m. duschka sigmod conference 1997	environmental information systems oliver g &#252; nther acm sigmod record 1997	0
127	implementation of two semantic query optimization techniques in db2 universal database k. bernhard schiefer , fred koo , t. y. cliff leung , linqi liu , jarek gryz , xiaoyan qian , qi cheng vldb 1999	investigation of algebraic query optimisation techniques for database programming languages alexandra poulovassilis , carol small very large data bases 1994	0
128	reminiscences on influential papers theodore johnson , amr el abbadi , richard t. snodgrass , kenneth a. ross sigmod record 2002	reminiscences on influential papers kenneth a. ross acm sigmod record 2003	0
129	adapting materialized views after redefinitions ashish gupta , inderpal singh mumick , kenneth a. ross sigmod conference 1995	rainbow : multi-xquery optimization using materialized xml views xin zhang , katica dimitrova , ling wang , maged el sayed , brian murphy , bradford pielech , mukesh mulchandani , luping ding , elke a. rundensteiner international conference on management of data 2003	0
130	editor 's notes jennifer widom sigmod record 1996	editorial richard snodgrass acm transactions on database systems ( tods ) 2001	0
131	automated resolution of semantic heterogeneity in multidatabases a. r. hurson , simin h. pakzad , m. w. bright acm trans . database syst . 1994	semantic integration in heterogeneous databases using neural networks wen-syan li , chris clifton very large data bases 1994	0
132	lambda-db : an odmg-based object-oriented dbms arvind rajendran , david maier , leonidas fegaras , chandrasekhar srinivasan sigmod conference 2000	metu object-oriented dbms asuman dogac , budak arpinar , cem evrendilek , cetin ozkan , ilker altintas , ilker durusoy , mehmet altinel , tansel okay , yuksel saygin international conference on management of data 1994	0
133	a query language for a web-site management system dan suciu , daniela florescu , alon y. levy , mary f. fernandez sigmod record 1997	catching the boat with strudel : experiences with a web-site management system mary fern &#225; ndez , daniela florescu , jaewoo kang , alon levy , dan suciu international conference on management of data 1998	0
134	applying update streams in a soft real-time database system brad adelberg , hector garcia-molina , ben kao sigmod conference 1995	index concurrency control in firm real-time database systems brajesh goyal , jayant r. haritsa , s. seshadri , v. srinivasan very large data bases 1995	0
135	acm multimedia '94 conference workshop on multimedia database management systems p. bruce berra , bhavani m. thuraisingham , kingsley c. nwosu sigmod record 1995	a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system kun-lung wu , philip s. yu , jen-yao chung , james z. teng very large data bases 1995	0
136	aurora : a data stream management system nesime tatbul , daniel j. abadi , c. erwin , anurag maskey , mitch cherniack , alex rasin , christian convey , a. singer , eduardo f. galvez , r. yan , ugur çetintemel , ying xing , stanley b. zdonik , michael stonebraker , donald carney , m. hatoun sigmod conference 2003	the mariposa distributed database management system jeff sidell acm sigmod record 1996	0
137	a logical foundation for deductive object-oriented databases mengchi liu , tok wang ling , gillian dobbie acm trans . database syst . 2002	a taxonomy for secure object-oriented databases martin s. olivier , sebastiaan h. von solms acm transactions on database systems ( tods ) 1994	0
138	zoo : a desktop experiment management environment miron livny , yannis e. ioannidis , nagavamsi ponnekanti , shivani gupta vldb 1996	zoo : a desktop experiment management environment yannis e. ioannidis , miron livny , s. gupta , nagavamsi ponnekanti very large data bases 1996	1
139	the database and information system research group at the university of ulm peter dadam , wolfgang klas sigmod record 1997	database research at the university of illinois at urbana-champaign m. winslett , k. chang , a. doan , j. han , c. zhai , y. zhou acm sigmod record 2002	0
140	online scaling in a highly available database svein erik bratsberg , rune humborstad vldb 2001	a scalable and highly available networked database architecture roger bamford , rafiul ahad , angelo pruscino very large data bases 1999	0
141	the mlpq/gis constraint database system yuguo liu , yiming li , pradip kanjamala , rui chen , yonghui wang , peter z. revesz sigmod conference 2000	safe query languages for constraint databases peter z. revesz acm transactions on database systems ( tods ) 1998	0
142	combining multi-visual features for efficient indexing in a large image database quan z. sheng , anne h. h. ngu , ron lei , du q. huynh vldb j. 2001	an efficient algorithm for mining association rules in large databases ashoka savasere , edward omiecinski , shamkant b. navathe very large data bases 1995	0
143	index configuration in object-oriented databases elisa bertino vldb j. 1994	a taxonomy for secure object-oriented databases martin s. olivier , sebastiaan h. von solms acm transactions on database systems ( tods ) 1994	0
